label,message,char_count,word_count,avg_word_length,message_length
0,what you doinghow are you,27,5,5.0,25
0,good morning princess happy new year,38,6,6.0,36
0,we're all getting worried over here derek and taylor have already assumed the worst,84,14,5.928571428571429,83
0,nah it's straight if you can just bring bud or drinks or something that's actually a little more useful than straight cash,123,22,5.545454545454546,122
0,ok c u then,13,4,2.75,11
0,can you please send me my aunty's number,40,8,5.0,40
1,between am-pm cost p,37,4,5.0,20
0,getting tickets walsall tue th march my mate is getting me them on sat ill pay my treat want go txt bak terry,120,23,4.739130434782608,109
0,ok give me minutes i think i see her btw you're my alibi you were cutting my hair the whole time,101,21,4.571428571428571,96
0,hey now am free you can call me,32,8,3.875,31
0,okey dokey ill be over in a bit just sorting some stuff out,62,13,4.538461538461538,59
0,no da i am happy that we sit together na,41,10,4.0,40
0,idk i'm sitting here in a stop and shop parking lot right now bawling my eyes out because i feel like i'm a failure in everything nobody wants me and now i feel like i'm failing you,184,37,4.891891891891892,181
0,i don't know but i'm raping dudes at poker,42,9,4.666666666666667,42
0,unni thank you dear for the rechargerakhesh,45,7,6.142857142857143,43
0,yup ok,9,2,3.0,6
0,collecting ur laptop then going to configure da settings izzit,65,10,6.2,62
0,you also didnt get na hi hi hi hi hi,36,10,3.6,36
0,don knowthis week i'm going to tirunelvai da,47,8,5.5,44
0,yes ammaelife takes lot of turns you can only sit and try to hold the steering,85,16,4.875,78
0,awesome think we can get an th at usf some time tonight,58,12,4.583333333333333,55
0,thank you do you generally date the brothas,45,8,5.375,43
0,nope c then,19,3,3.6666666666666665,11
0,no ill meet you in the library,32,7,4.285714285714286,30
0,lol i have to take it member how i said my aunt flow didn't visit for months it's cause i developed ovarian cysts bc is the only way to shrink them,153,31,4.741935483870968,147
0,hi mobile no ltgt has added you in their contact list on it s a great place to send free sms to people for more visit fullonsmscom,158,27,4.814814814814815,130
0,ok lar joking wif u oni,29,6,3.8333333333333335,23
0,been up to ne thing interesting did you have a good birthday when are u wrking nxt i started uni today,106,21,4.857142857142857,102
0,ambrithmaduraimet u in arun dha marrgeremembr,52,6,7.5,45
0,his bday real is in april,27,6,4.166666666666667,25
0,yes that will be fine love you be safe,42,9,4.222222222222222,38
0,hey congrats u id luv but ive had go home,50,10,4.1,41
0,hi peteynoim ok just wanted chat coz avent spoken u a long time-hope ur doin alritehave good nit at js love ya amx,124,23,4.956521739130435,114
0,i'm in office now dawhere are you,36,7,4.714285714285714,33
0,damn can you make it tonight or do you want to just wait til tomorrow,70,15,4.6,69
0,actually i decided i was too hungry so i haven't left yet v,60,13,4.538461538461538,59
0,yes but i dont care i need you bad princess,46,10,4.3,43
1,urgent you have won a week free membership in our prize jackpot txt the word claim to no tc lccltd pobox ldnwarw,155,22,5.090909090909091,112
0,kkits goodwhen are you going,35,5,5.6,28
0,i hope you know i'm still mad at you,37,9,4.0,36
0,i cant pick the phone right now pls send a message,51,11,4.545454545454546,50
0,hi its kate can u give me a ring asap xxx,41,11,3.727272727272727,41
1,sms ac blind date u rodds is m from aberdeen united kingdom check him out sms acwicmbcktzr- no blind dates send hide,146,22,5.2727272727272725,116
0,k makes sense btw carlos is being difficult so you guys are gonna smoke while i go pick up the second batch and get gas,121,25,4.76,119
0,i dont think so you don't need to be going out that late on a school night especially when the one class you have is the one you missed last wednesday and probably failed a test in on friday,193,39,4.871794871794871,190
0,now thats going to ruin your thesis,36,7,5.0,35
0,hi chachi tried calling u now unable to reach u pl give me a missed cal once u c tiz msg kanagu,99,22,4.318181818181818,95
0,excellent i spent ltgt years in the air force iraq and afghanistan i am stable and honest do you like traveling,123,21,5.285714285714286,111
0,ok lor reaching then message me,34,6,5.166666666666667,31
1,freemsg our records indicate you may be entitled to pounds for the accident you had to claim for free reply with yes to this msg to opt out text stop,157,30,4.966666666666667,149
0,you're right i have now that i think about it,45,10,4.5,45
0,yes i think so i am in office but my lap is in room i think thats on for the last few days i didnt shut that down,115,28,4.035714285714286,113
0,wen did you get so spiritual and deep that's great,51,10,5.0,50
0,lol i would but despite these cramps i like being a girl,57,12,4.666666666666667,56
0,i am not at all happy with what you saying or doing,51,12,4.25,51
0,i wil be there with in ltgt minutes got any space,57,11,4.454545454545454,49
0,i call you later don't have network if urgnt sms me,55,11,4.636363636363637,51
0,if you're thinking of lifting me one then no,45,9,4.888888888888889,44
0,yes how is a pretty lady like you single,42,9,4.444444444444445,40
0,our prashanthettan's mother passed away last night pray for her and family,76,12,6.166666666666667,74
0,wat uniform in where get,26,5,4.8,24
0,thanx but my birthday is over already,38,7,5.285714285714286,37
1,urgent we are trying to contact u todays draw shows that you have won a prize guaranteed call from land line claim valid hrs only,159,25,5.16,129
0,nohe joined today itself,27,4,6.0,24
0,i know you are thinkin malaria but relax children cant handle malaria she would have been worse and its gastroenteritis if she takes enough to replace her loss her temp will reduce and if you give her malaria meds now she will just vomit its a self limiting illness she has which means in a few days it will completely stop,329,61,5.295081967213115,323
0,even i cant close my eyes you are in me our vava playing umma -d,65,15,4.266666666666667,64
0,cool want me to go to kappa or should i meet you outside mu,60,14,4.214285714285714,59
0,the world's most happiest frnds never have the same characters dey just have the best understanding of their differences,126,19,6.315789473684211,120
0,waiting my tv show start lor u leh still busy doing ur report,69,13,4.6923076923076925,61
0,on the way to office da,25,6,3.8333333333333335,23
0,yup anything lor if u dun wan it's ok,42,9,4.111111111111111,37
0,jesus armand really is trying to tell everybody he can find,59,11,5.363636363636363,59
0,not to worry i'm sure you'll get it,37,8,4.375,35
0,so what did the bank say about the money,41,9,4.444444444444445,40
0,where wuld i be without my baby the thought alone mite break me and i dont wanna go crazy but everyboy needs his lady xxxxxxxx,128,25,5.04,126
0,where's my boytoy i miss you what happened,48,8,5.25,42
0,i'll probably be by tomorrow or even later tonight if something's going on,76,13,5.6923076923076925,74
